node_id,stop_no,stop_name,elev_m,slope_pct,slope_pct_raw
100000133,01229,혜화역.동성중고(장면총리가옥),33.95143,11.061762,8.776402
100000135,01231,종로구민회관.창신동두산아파트,24.057339,5.068336,4.021218
100000139,01235,동묘앞역6번출구,20.64664,10.225819,8.113164
100000140,01236,동묘앞역5번출구,19.70032,2.1083682,1.6727793
100000142,01238,창신3동주민센터,34.09133,2.7530015,2.1842313
100000143,01239,숭인1동주민센터.창신역4번출구,33.11981,4.8738003,3.8668733
100000144,01240,동묘앞역.롯데캐슬천지인,25.446985,1.7576911,1.3945522
100000147,01243,신설동역오거리,20.65819,14.031863,11.13288
100000150,01246,구기동현대빌라,100.17049,6.7940645,5.390411
100000151,01247,광장시장,25.49812,3.5436053,2.8114965
100000153,01249,서울특별시재향군인회관,32.957798,11.622286,9.221122
100000154,01250,서울역사박물관,40.200756,18.001257,14.282198
100000155,01251,청계3가.관수교,26.659128,4.8884563,3.8785014
100000156,01252,청계6가.버들다리,34.055206,29.112644,23.097971
100000157,01253,청계7가.맑은내다리,24.849094,1.4599085,1.1582915
100000158,01254,청계8가.영도교,20.225714,5.8841424,4.6684785
100000159,01256,원남동사거리,30.192278,1.5734092,1.2483429
100000165,01262,숭인2동주민센터,21.08072,5.4329753,4.3105226
100000169,01267,조계사,35.086617,15.270659,12.115742
100000174,01272,세종문화회관,31.407064,4.038095,3.2038248
100000179,01277,이화동(이화장),26.393055,2.9649808,2.3524158
100000180,01278,상명대정문,102.87212,16.912312,13.418228
100000181,01279,이북오도청,115.15116,1.5279934,1.21231
100000188,01286,상명대입구.세검정교회,72.13237,25.18978,19.98557
100000189,01287,상명대입구.석파랑,65.51791,15.1705065,12.03628
100000190,01288,종로중부새마을금고,22.810644,7.5011325,5.9513984
100000191,01289,신설동역오거리.서울풍물시장,15.344728,15.4554615,12.2623625
100000192,01291,청계2가.삼일교,23.531149,4.0881934,3.2435727
100000193,01292,청계8가.황학교,17.75612,6.9046164,5.4781227
100000329,01762,광화문,32.361813,1.396916,1.1083132
100000330,01763,종로1가,37.727306,11.479435,9.107784
100000333,01766,종로2가,33.200314,8.711604,6.9117866
100000334,01767,종로3가역11번출구,27.819662,7.92867,6.290607
100000335,01768,종로3가,27.1243,3.8726068,3.0725262
100000336,01769,종로4가,27.395891,4.0846953,3.240797
100000338,01771,동대문종합시장.종로6가,26.243069,6.9375114,5.5042214
100000343,01777,경복궁역,41.045177,7.935617,6.2961183
100000344,01778,경복궁역7번출구,37.253242,3.7146933,2.9472377
100000345,01779,안국역,36.393597,4.528411,3.5928414
100000346,01780,안국역,38.373104,13.398588,10.63044
100000347,01781,창덕궁,36.249332,2.4724154,1.9616144
100000348,01782,성대입구,34.572483,3.3208902,2.6347942
100000355,01293,평창동삼성아파트,149.97467,23.207947,18.413185
100000360,01733,창경궁.고궁호텔.메이플레이스호텔,26.954483,5.7239723,4.5413995
100000362,13037,영천시장,41.91302,2.1478324,1.7040902
100000363,13036,영천시장,42.71677,4.0467567,3.210697
100000364,01245,동묘앞역2번출구,25.71736,9.903297,7.8572764
100000365,01037,동대문역.흥인지문,23.0361,4.7954016,3.8046715
100000366,01041,동묘앞.서울혜화경찰서,22.446987,11.143843,8.841524
100000367,01044,동묘앞.서울혜화경찰서,18.229647,2.9820344,2.365946
100000368,01169,서대문역사거리.적십자병원,40.064137,9.79345,7.7701235
100000369,01295,안국역.서울공예박물관,36.04704,7.1219506,5.6505556
100000370,01294,안국역5번출구,38.373104,13.398588,10.63044
100000371,01296,창덕궁,32.775566,6.522025,5.174575
100000376,01165,삼성강북병원.경교장,51.841583,14.001856,11.109073
100000379,01008,서울역사박물관.경희궁앞,40.820744,10.245779,8.129001
100000380,01007,서울역사박물관.경희궁앞,45.000362,16.958317,13.454729
100000384,01009,광화문역,32.785236,5.7128897,4.5326066
100000385,01010,광화문역,33.019676,15.638812,12.407833
100000386,01011,종로1가,40.23316,13.40491,10.635455
100000387,01012,종로1가,36.93585,10.429339,8.274638
100000388,01013,종로2가,32.716545,13.81391,10.959955
100000389,01014,종로2가,33.200314,8.711604,6.9117866
100000390,01015,종로3가.탑골공원,30.563103,5.7420645,4.555754
100000391,01016,종로3가.탑골공원,27.94377,6.846951,5.4323707
100000392,01017,종로4가.종묘,23.87048,6.8207617,5.4115925
100000393,01018,종로4가.종묘,23.587278,3.8162043,3.0277765
100000394,01019,종로5가.광장시장,24.365492,1.8246258,1.4476582
100000395,01020,종로5가.광장시장,24.53583,11.634746,9.231007
100000396,01021,종로6가.동대문종합시장,23.719982,1.312792,1.0415691
100000397,01022,종로6가.동대문종합시장,23.545097,3.364279,2.669219
100000398,01023,동대문역.흥인지문,27.561516,12.502922,9.919819
100000399,01901,동대문역JW메리어트동대문호텔,20.182138,2.8069499,2.227034
100000400,01918,청와대,45.171906,2.8398626,2.253147
100000401,01910,통인시장,41.300385,2.4828143,1.9698648
100000402,01911,세종문화회관,31.993004,2.908181,2.3073509
100000403,01913,인사동.탑골공원,28.4461,2.7826686,2.2077692
100000404,01914,종묘.세운상가,26.630161,1.020424,0.80960435
100000405,01915,광장시장,32.428726,18.383596,14.585545
100000406,01916,동묘.숭인동도깨비시장,22.282557,1.2282073,0.9744597
